,actual,Date,Oil Rate (bbl/d)
0,41.7031,2014-05-17,42.76654487
1,42.651623,2014-05-18,42.91574581
2,44.427715,2014-05-19,66.62810299
3,50.834053,2014-05-20,32.3904862
4,49.94766,2014-05-21,56.87590168
5,51.37979,2014-05-22,46.11339861
6,51.61095,2014-05-23,33.43383188
7,48.675545,2014-05-24,58.71116763
8,50.57889,2014-05-25,39.69454955
9,50.114964,2014-05-26,43.66438646
10,49.332584,2014-05-27,41.99191694
11,48.468594,2014-05-28,47.38133011
12,48.89705,2014-05-29,39.12645687
13,48.054707,2014-05-30,48.82179439
14,48.783012,2014-05-31,46.66910357
15,49.587715,2014-06-01,33.42819125
16,47.45228,2014-06-02,21.51260607
17,42.869087,2014-06-03,24.62280309
18,39.347683,2014-06-04,24.78112582
19,37.333054,2014-06-05,20.72167634
20,35.727062,2014-06-06,34.33398643
21,36.505733,2014-06-07,17.18312428
22,35.548683,2014-06-08,25.01140432
23,34.858112,2014-06-09,34.03898039
24,36.076065,2014-06-10,26.09614136
25,36.592323,2014-06-11,25.49436382
26,36.329617,2014-06-12,13.71500716
27,34.278828,2014-06-13,17.64220585
28,32.56222,2014-06-14,27.8823575
29,32.991814,2014-06-15,20.42659174
30,33.27359,2014-06-16,27.20745632
31,34.003197,2014-06-17,37.54487191
32,36.46913,2014-06-18,16.32446243
33,35.777737,2014-06-19,23.13839378
34,34.7082,2014-06-20,18.73830117
35,33.55508,2014-06-21,26.95204813
36,33.75527,2014-06-22,29.91034584
37,35.04914,2014-06-23,57.66298276
38,41.20584,2014-06-24,9.484305369
39,39.385883,2014-06-25,18.92905008
40,36.17751,2014-06-26,16.01533822
41,33.543953,2014-06-27,11.31652562
42,31.33111,2014-06-28,8.735438426
43,29.456507,2014-06-29,44.28847589
44,32.675137,2014-06-30,23.57393082
45,34.95321,2014-07-01,61.72826335
46,41.722996,2014-07-02,65.47178204
47,50.615414,2014-07-03,48.32658344
48,53.3729,2014-07-04,38.92911556
49,51.207726,2014-07-05,46.96572619
50,50.07098,2014-07-06,31.08904341
51,46.947807,2014-07-07,51.38973984
52,47.795242,2014-07-08,71.44967919
53,54.79499,2014-07-09,40.97919787
54,54.7727,2014-07-10,62.62695566
55,56.672165,2014-07-11,64.19141814
56,59.65556,2014-07-12,49.99760797
57,58.704716,2014-07-13,61.268124
58,59.297203,2014-07-14,42.915955
59,56.301,2014-07-15,35.67893512
60,51.517338,2014-07-16,58.83671509
61,52.371284,2014-07-17,44.57232018
62,52.17973,2014-07-18,62.53340092
63,55.15315,2014-07-19,60.86633292
64,58.192997,2014-07-20,52.66997235
65,58.193516,2014-07-21,37.23895131
66,53.869476,2014-07-22,57.33717382
67,53.756466,2014-07-23,48.1335067
68,53.520355,2014-07-24,56.96974602
69,54.963696,2014-07-25,56.07143459
70,56.400703,2014-07-26,50.61348915
